PT	出版物类型（J=期刊；B=书籍；S=丛书；P=专利）
AU	作者
AF	作者全名
BA	书籍作者
BF	书籍作者全名
CA	团体作者
GP	书籍团体作者
BE	编者
TI	文献标题
SO	出版物名称
SE	丛书标题
BS	丛书副标题
LA	语种
DT	文献类型
CT	会议标题
CY	会议日期
CL	会议地点
SP	会议赞助方
HO	会议主办方
DE	作者关键词
ID	Keywords Plus
AB	摘要
C1	作者地址
C3	作者机构
RP	通讯作者地址
EM	电子邮件地址
RI	ResearcherID 号
OI	ORCID 标识符 (Open Researcher and Contributor ID)
FU	基金资助机构和授权号
FX	基金资助正文
CR	引用的参考文献
NR	引用的参考文献数
TC	Web of Science 核心合集的被引频次计数
Z9	被引频次合计
U1	使用次数（最近 180 天）
U2	使用次数（2013 年至今）
PU	出版商
PI	出版商所在城市
PA	出版商地址
SN	国际标准期刊号 (ISSN)
EI	电子国际标准期刊号 (eISSN)
BN	国际标准书号 (ISBN)
J9	长度为 29 个字符的来源文献名称缩写
JI	ISO 来源文献名称缩写
PD	出版日期
PY	出版年
VL	卷
IS	期
SI	特刊
PN	子辑
SU	增刊
MA	会议摘要
BP	开始页
EP	结束页
AR	文献编号
DI	数字对象标识符 (DOI)
D2	书籍的数字对象标识符 (DOI)
EA	提前访问日期
EY	提前访问年份
PG	页数
P2	章节数 (Book Citation Index)
WC	Web of Science 类别
WE	Web of Science 索引处
SC	研究方向
GA	文献传递号
PM	PubMed ID
UT	入藏号
OA	公开访问指示符
HP	ESI 热门论文。请注意，此字段值仅适用于 ESI 订阅者
HC	ESI 常被引用的论文请注意，此字段值仅适用于 ESI 订阅者
DA	生成此报告的日期
EF	文件结束
